# vSmartMOM bandwise LambertianSurfaceLegendre inputs
# x=-1 is the longest wavelength and x=+1 the shortest wavelength
# surface band P0 P1 P2 rmse max_abs_error
urban   o2a         2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.003655e-05 5.818021e-05
urban   weak_co2    2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 3.708020e-06 1.033929e-05
urban   strong_co2  2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04 1.479027e-05 3.981366e-05
rural   o2a         4.316337681355e-01 -1.132406147968e-03 -5.113281428668e-04 6.528255e-05 1.621082e-04
rural   weak_co2    2.649756999501e-01 -7.815572876593e-03 -4.045537002265e-04 2.021460e-05 4.582065e-05
rural   strong_co2  1.335417267332e-01 -7.346018628075e-03  5.798463175187e-05 2.851484e-05 5.733667e-05
desert  o2a         4.186071552534e-01 -3.356987808217e-04 -5.529607382857e-05 1.204845e-03 3.694741e-03
desert  weak_co2    4.972482231007e-01 -1.598624892135e-03  5.177341280743e-03 1.328833e-03 2.503192e-03
desert  strong_co2  4.821355300133e-01 -2.153405391580e-03 -4.615076186362e-04 1.693933e-03 4.097833e-03
forest  o2a         4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 5.669600e-05 1.356670e-04
forest  weak_co2    2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 2.306606e-05 6.821928e-05
forest  strong_co2  1.100470188428e-01 -7.300987656445e-03  1.377656166909e-04 1.189383e-05 2.642289e-05
