surface,band,P0,P1,P2,rmse,max_abs_error
urban,o2a,0.27153747085832397,-0.0012005046362721572,-0.0002299576457170877,2.0036551032058998e-5,5.8180210174008096e-5
urban,weak_co2,0.2522486169618706,-0.002142459711454886,-0.00013177532546984632,3.708019651147927e-6,1.0339288416927328e-5
urban,strong_co2,0.21769110562924818,-0.001859347500214963,-0.00011389273338510656,1.4790272129427029e-5,3.981365897914868e-5
rural,o2a,0.43163376813546367,-0.0011324061479679052,-0.0005113281428667536,6.528254680061563e-5,0.00016210817338774275
rural,weak_co2,0.26497569995010833,-0.007815572876593254,-0.0004045537002264682,2.0214598375478432e-5,4.5820649769434674e-5
rural,strong_co2,0.13354172673315828,-0.007346018628075089,5.798463175186779e-5,2.8514843084837944e-5,5.7336673681435135e-5
desert,o2a,0.4186071552534211,-0.00033569878082174553,-5.5296073828573646e-5,0.00120484487474697,0.0036947407861090964
desert,weak_co2,0.49724822310068684,-0.001598624892135256,0.005177341280743132,0.0013288334549379928,0.0025031919430938965
desert,strong_co2,0.4821355300133419,-0.0021534053915795628,-0.00046150761863619717,0.001693932875571268,0.004097832742601115
forest,o2a,0.46826302636734063,-0.003395734379890329,-0.0009477610409606966,5.6696002890302215e-5,0.0001356669603963523
forest,weak_co2,0.2557722421503973,-0.008976038364694352,-0.0005051202091651515,2.3066061058942417e-5,6.821927707009734e-5
forest,strong_co2,0.11004701884277333,-0.007300987656444789,0.00013776561669091573,1.1893831682019405e-5,2.6422894878530556e-5
