# Exact truth-map state table; state order: surface -> aerosol -> SIF -> XCO2
# AOD550 ratio sulfate:organic_carbon:stratospheric_sulfate = 8:1.8:0.2; total AOD760 = 0.28
# SIF_total units: mW m^-2 sr^-1 integrated in wavelength; SIF760 is per cm^-1
# index surface_index surface aerosol_index aerosol_case sif_index sif_case xco2_index xco2_ppm psurf_hpa sza_deg vza_deg sulfate_aod550 organic_aod550 stratospheric_aod550 sif_total SIF760 mSIF o2a_P0 o2a_P1 o2a_P2 weak_P0 weak_P1 weak_P2 strong_P0 strong_P1 strong_P2
001 1 urban 1 none 1 off 1 380 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
002 1 urban 1 none 1 off 2 400 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
003 1 urban 1 none 1 off 3 420 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
004 1 urban 1 none 1 off 4 440 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
005 1 urban 1 none 2 total_0p5 1 380 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
006 1 urban 1 none 2 total_0p5 2 400 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
007 1 urban 1 none 2 total_0p5 3 420 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
008 1 urban 1 none 2 total_0p5 4 440 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
009 1 urban 2 aod760_0p28 1 off 1 380 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
010 1 urban 2 aod760_0p28 1 off 2 400 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 2.715374708583e-01 -1.200504636272e-03 -2.299576457171e-04 2.522486169619e-01 -2.142459711455e-03 -1.317753254698e-04 2.176911056292e-01 -1.859347500215e-03 -1.138927333851e-04
