# vza_deg vaz_deg case I Q U
  0.0   0.0            8 5.512029171e+00 2.081650123e-02 0.000000000e+00
  0.0 180.0            8 5.512029171e+00 2.081650123e-02 0.000000000e+00
  0.0   0.0           12 5.507855415e+00 5.781374406e-03 0.000000000e+00
  0.0 180.0           12 5.507855415e+00 5.781374406e-03 0.000000000e+00
  0.0   0.0           16 5.510887146e+00 9.525782429e-03 0.000000000e+00
  0.0 180.0           16 5.510887146e+00 9.525782429e-03 0.000000000e+00
  0.0   0.0           24 5.507987976e+00 9.652177803e-03 0.000000000e+00
  0.0 180.0           24 5.507987976e+00 9.652177803e-03 0.000000000e+00
  0.0   0.0           32 5.517736912e+00 9.851004928e-03 0.000000000e+00
  0.0 180.0           32 5.517736912e+00 9.851004928e-03 0.000000000e+00
  0.0   0.0  untruncated 5.692957401e+00 9.864384308e-03 0.000000000e+00
  0.0 180.0  untruncated 5.692957401e+00 9.864384308e-03 0.000000000e+00
  5.0   0.0            8 5.494979858e+00 4.042685032e-02 0.000000000e+00
  5.0 180.0            8 5.530382156e+00 7.016413379e-03 0.000000000e+00
  5.0   0.0           12 5.494349957e+00 3.355140984e-02 0.000000000e+00
  5.0 180.0           12 5.524511814e+00 -1.519266795e-02 0.000000000e+00
  5.0   0.0           16 5.494987488e+00 3.727215528e-02 0.000000000e+00
  5.0 180.0           16 5.524595261e+00 -1.555088721e-02 0.000000000e+00
  5.0   0.0           24 5.492771626e+00 3.647688776e-02 0.000000000e+00
  5.0 180.0           24 5.524826527e+00 -1.346521731e-02 0.000000000e+00
  5.0   0.0           32 5.484855652e+00 3.644932806e-02 0.000000000e+00
  5.0 180.0           32 5.516811371e+00 -1.365069672e-02 0.000000000e+00
  5.0   0.0  untruncated 5.682783127e+00 3.704709932e-02 0.000000000e+00
  5.0 180.0  untruncated 5.715218544e+00 -1.398498099e-02 0.000000000e+00
 10.0   0.0            8 5.480902672e+00 6.529071927e-02 0.000000000e+00
 10.0 180.0            8 5.547388077e+00 -1.208922011e-03 0.000000000e+00
 10.0   0.0           12 5.483199596e+00 6.431203336e-02 0.000000000e+00
 10.0 180.0           12 5.543638706e+00 -2.597474121e-02 0.000000000e+00
 10.0   0.0           16 5.480697632e+00 6.549000740e-02 0.000000000e+00
 10.0 180.0           16 5.538435936e+00 -3.240291402e-02 0.000000000e+00
 10.0   0.0           24 5.485511780e+00 6.510385871e-02 0.000000000e+00
 10.0 180.0           24 5.544754028e+00 -3.009302728e-02 0.000000000e+00
 10.0   0.0           32 5.487536430e+00 6.505694985e-02 0.000000000e+00
 10.0 180.0           32 5.546772003e+00 -3.040736355e-02 0.000000000e+00
 10.0   0.0  untruncated 5.687272549e+00 6.618063152e-02 0.000000000e+00
 10.0 180.0  untruncated 5.747419834e+00 -3.105163947e-02 0.000000000e+00
 15.0   0.0            8 5.473531723e+00 9.437133372e-02 0.000000000e+00
