# l species scattering_weight beta_l
0 sulfate          7.061010130e-01 1.000000000e+00
1 sulfate          7.061010130e-01 1.827353279e+00
2 sulfate          7.061010130e-01 1.760223725e+00
3 sulfate          7.061010130e-01 1.174169994e+00
4 sulfate          7.061010130e-01 7.157580405e-01
5 sulfate          7.061010130e-01 3.898829251e-01
6 sulfate          7.061010130e-01 2.131573725e-01
7 sulfate          7.061010130e-01 1.098625957e-01
8 sulfate          7.061010130e-01 5.945930127e-02
9 sulfate          7.061010130e-01 3.008885779e-02
10 sulfate          7.061010130e-01 1.684433093e-02
11 sulfate          7.061010130e-01 8.385615787e-03
12 sulfate          7.061010130e-01 5.009256981e-03
13 sulfate          7.061010130e-01 2.421841735e-03
14 sulfate          7.061010130e-01 1.586618361e-03
15 sulfate          7.061010130e-01 7.277286494e-04
16 sulfate          7.061010130e-01 5.349275080e-04
17 sulfate          7.061010130e-01 2.269179734e-04
18 sulfate          7.061010130e-01 1.899095220e-04
19 sulfate          7.061010130e-01 7.372406930e-05
20 sulfate          7.061010130e-01 7.272323060e-05
21 sulfate          7.061010130e-01 2.523303900e-05
22 sulfate          7.061010130e-01 2.822475789e-05
23 sulfate          7.061010130e-01 9.995759299e-06
24 sulfate          7.061010130e-01 1.206578810e-05
25 sulfate          7.061010130e-01 4.342143627e-06
26 sulfate          7.061010130e-01 5.407127126e-06
27 sulfate          7.061010130e-01 1.948194134e-06
28 sulfate          7.061010130e-01 2.268686251e-06
29 sulfate          7.061010130e-01 7.835051661e-07
30 sulfate          7.061010130e-01 9.734303179e-07
31 sulfate          7.061010130e-01 3.984524517e-07
32 sulfate          7.061010130e-01 6.579428170e-07
33 sulfate          7.061010130e-01 2.652739572e-07
34 sulfate          7.061010130e-01 3.135462076e-07
35 sulfate          7.061010130e-01 8.369474702e-08
36 sulfate          7.061010130e-01 1.114961213e-07
37 sulfate          7.061010130e-01 6.261280124e-08
38 sulfate          7.061010130e-01 8.606159788e-08
39 sulfate          7.061010130e-01 3.219891049e-08
40 sulfate          7.061010130e-01 3.426091194e-08
41 sulfate          7.061010130e-01 1.474198022e-08
42 sulfate          7.061010130e-01 1.707670511e-08
43 sulfate          7.061010130e-01 8.597538945e-09
44 sulfate          7.061010130e-01 1.128940346e-08
45 sulfate          7.061010130e-01 4.758940943e-09
46 sulfate          7.061010130e-01 5.025540623e-09
47 sulfate          7.061010130e-01 2.792086439e-09
48 sulfate          7.061010130e-01 2.692323184e-09
49 sulfate          7.061010130e-01 1.109408747e-09
50 sulfate          7.061010130e-01 1.397079218e-09
51 sulfate          7.061010130e-01 6.803746746e-10
52 sulfate          7.061010130e-01 8.314295053e-10
53 sulfate          7.061010130e-01 3.993758976e-10
54 sulfate          7.061010130e-01 4.186993009e-10
55 sulfate          7.061010130e-01 2.609108798e-10
56 sulfate          7.061010130e-01 2.546936007e-10
57 sulfate          7.061010130e-01 1.682381762e-10
58 sulfate          7.061010130e-01 1.617935766e-10
59 sulfate          7.061010130e-01 1.068480518e-10
60 sulfate          7.061010130e-01 1.032726075e-10
61 sulfate          7.061010130e-01 6.750152553e-11
62 sulfate          7.061010130e-01 6.588264277e-11
63 sulfate          7.061010130e-01 4.299603447e-11
64 sulfate          7.061010130e-01 4.270699110e-11
65 sulfate          7.061010130e-01 2.816480843e-11
66 sulfate          7.061010130e-01 2.810721859e-11
67 sulfate          7.061010130e-01 1.878867911e-11
68 sulfate          7.061010130e-01 1.879250623e-11
69 sulfate          7.061010130e-01 1.225189687e-11
70 sulfate          7.061010130e-01 1.232636242e-11
71 sulfate          7.061010130e-01 7.702564227e-12
