# Exact model geometry and untruncated aerosol AOD at the grid point nearest 760 nm
# nlayer layer z_top_km z_bottom_km z_center_km dz_km sulfate_aod760 organic_aod760 stratospheric_aod760
12 1 62.693801880 17.047576904 39.870689392 45.646224976 8.075414825726e-08 4.810596809790e-09 1.858876316874e-06
12 2 17.047576904 12.638883591 14.843230247 4.408693314 1.465111040488e-06 3.078781958266e-07 1.938125235029e-03
12 3 12.638883591 10.052184105 11.345533371 2.586699486 9.990441867558e-06 3.569462933228e-06 3.628362203017e-03
12 4 10.052184105 8.176888466 9.114536285 1.875295639 4.767955761054e-05 2.496699744370e-05 1.758935104590e-04
12 5 8.176888466 6.659861565 7.418375015 1.517026901 1.956903724931e-04 1.363852352370e-04 2.380113812706e-07
12 6 6.659861565 5.375703335 6.017782211 1.284158230 7.282986189239e-04 6.228857091628e-04 6.098726558490e-12
12 7 5.375703335 4.248088837 4.811896324 1.127614498 2.561360131949e-03 2.467994811013e-03 1.231266923784e-18
12 8 4.248088837 3.239259481 3.743674278 1.008829355 8.493755944073e-03 8.249562233686e-03 2.927301570791e-28
12 9 3.239259481 2.326044321 2.782651901 0.913215160 2.564516477287e-02 2.116467244923e-02 2.670874873003e-42
12 10 2.326044321 1.501271963 1.913658142 0.824772358 6.162808835506e-02 3.216759487987e-02 0.000000000000e+00
12 11 1.501271963 0.722002387 1.111637115 0.779269576 8.196443319321e-02 1.557672210038e-02 0.000000000000e+00
12 12 0.722002387 0.000000000 0.361001194 0.722002387 1.227110903710e-02 2.937545941677e-04 0.000000000000e+00
16 1 62.693801880 18.891431808 40.792617798 43.802368164 2.307261404155e-08 0.000000000000e+00 2.602221194081e-08
16 2 18.891431808 14.466358185 16.678894043 4.425073624 4.037707412863e-07 6.253775808318e-08 2.207395737059e-04
16 3 14.466358185 11.890235901 13.178297043 2.576122284 2.272652409374e-06 5.676504315488e-07 3.088548779488e-03
16 4 11.890235901 10.052184105 10.971210480 1.838051796 8.836811502988e-06 3.251963335060e-06 2.259030938148e-03
16 5 10.052184105 8.599275589 9.325729370 1.452908516 2.881769432861e-05 1.422012428520e-05 1.744124310790e-04
16 6 8.599275589 7.383318901 7.991297245 1.215956688 8.458420052193e-05 5.277705713524e-05 1.717008217383e-06
16 7 7.383318901 6.324834347 6.854076385 1.058484554 2.336909674341e-04 1.757407299010e-04 2.057761516738e-09
16 8 6.324834347 5.375703335 5.850268841 0.949130952 6.245756521821e-04 5.414999905042e-04 2.243009245137e-13
16 9 5.375703335 4.514123917 4.944913864 0.861579418 1.614067819901e-03 1.537182950415e-03 1.231266613591e-18
16 10 4.514123917 3.739643097 4.126883507 0.774481058 3.914626780897e-03 3.860571188852e-03 1.505065132621e-25
16 11 3.739643097 3.000677347 3.370160103 0.738965750 9.692920371890e-03 9.154599159956e-03 1.819816324464e-34
16 12 3.000677347 2.326044559 2.663361073 0.674632788 2.147864177823e-02 1.732986792922e-02 0.000000000000e+00
16 13 2.326044559 1.705426693 2.015735626 0.620617747 4.168675839901e-02 2.412017807364e-02 0.000000000000e+00
16 14 1.705426693 1.104040623 1.404733658 0.601386070 6.490030884743e-02 1.968886516988e-02 0.000000000000e+00
16 15 1.104040623 0.536622405 0.820331514 0.567418158 4.608568176627e-02 4.204284399748e-03 0.000000000000e+00
16 16 0.536622405 0.000000000 0.268311203 0.536622405 3.190902760252e-03 2.475331348251e-05 0.000000000000e+00
